Id_juego,Nombre,Desarrollador,Año_lanzamiento,Género
761140,Lost Summoner Kitty,Kotoshiro,2018,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
643980,Ironbound,Secret Level SRL,2018,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
670290,Real Pool 3D - Poolians,Poolians.com,2017,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
767400,弹炸人2222,彼岸领域,2017,"['Action', 'Adventure', 'Casual']"
773570,Log Challenge,N/D,2018,"Action, Casual, Indie, Sports"
772540,Battle Royale Trainer,Trickjump Games Ltd,2018,"['Action', 'Adventure', 'Simulation']"
774276,SNOW - All Access Basic Pass,Poppermost Productions,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
774277,SNOW - All Access Pro Pass,Poppermost Productions,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
774278,SNOW - All Access Legend Pass,Poppermost Productions,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
768800,Race,RewindApp,2018,"['Casual', 'Indie', 'Racing', 'Simulation']"
768570,Uncanny Islands,Qucheza,2018,"['Action', 'Indie', 'Simulation', 'Early Access']"
724910,Icarus Six Sixty Six,N/D,2018,Casual
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Stegalosaurus Game Development,2018,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
768880,Beach Rules,Copperpick Studio,2018,"['Casual', 'Indie']"
765320,Planetarium 2 - Zen Odyssey,Ghulam Jewel,2018,"['Casual', 'Indie', 'Simulation']"
773650,The first thrust of God,Apillo,2018,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
774271,SNOW - Starter Pack,Poppermost Productions,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
773690,The first thrust of God - All Aircrafts,Apillo,2018,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
774279,SNOW - Lifetime Pack,Poppermost Productions,2018,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
772590,After Life VR,N/D,2018,"Indie, Early Access"
640250,Kitty Hawk,N/D,2018,"Action, Adventure, Casual, Indie, Early Access"
768060,The Warrior Of Treasures,Tero Lunkka,2018,"['Action', 'Adventure', 'Indie']"
