Id_juego,Nombre,Género
761140,Lost Summoner Kitty,"Action, Casual, Indie, Simulation, Strategy, "
643980,Ironbound,"Free to Play, Indie, RPG, Strategy, "
670290,Real Pool 3D - Poolians,"Casual, Free to Play, Indie, Simulation, Sports, "
767400,弹炸人2222,"Action, Adventure, Casual, "
773570,Log Challenge,"Action, Casual, Indie, Sports, "
772540,Battle Royale Trainer,"Action, Adventure, Simulation, "
774276,SNOW - All Access Basic Pass,"Free to Play, Indie, Simulation, Sports, "
774277,SNOW - All Access Pro Pass,"Free to Play, Indie, Simulation, Sports, "
774278,SNOW - All Access Legend Pass,"Free to Play, Indie, Simulation, Sports, "
768800,Race,"Casual, Indie, Racing, Simulation, "
768570,Uncanny Islands,"Action, Indie, Simulation, Early Access, "
724910,Icarus Six Sixty Six,"Casual, "
770380,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"Action, Adventure, Casual, Indie, RPG, "
768880,Beach Rules,"Casual, Indie, "
765320,Planetarium 2 - Zen Odyssey,"Casual, Indie, Simulation, "
773650,The first thrust of God,"Adventure, Casual, Indie, Simulation, Strategy, "
774271,SNOW - Starter Pack,"Free to Play, Indie, Simulation, Sports, "
773690,The first thrust of God - All Aircrafts,"Adventure, Casual, Indie, Simulation, Strategy, "
774279,SNOW - Lifetime Pack,"Free to Play, Indie, Simulation, Sports, "
772590,After Life VR,"Indie, Early Access, "
640250,Kitty Hawk,"Action, Adventure, Casual, Indie, Early Access, "
768060,The Warrior Of Treasures,"Action, Adventure, Indie, "
711440,Mortars VR,"Action, Casual, Indie, Strategy, Early Access, "
775880,RC Plane 3 - Canyon Scenario,"Racing, Simulation, Sports, "
775881,RC Plane 3 - F-53B,"Racing, Simulation, Sports, "
653960,DinoBlaster,"Action, Indie, "
777910,Robotpencil Presents: Understanding 3D for Concept,"Design & Illustration, "
282010,Carmageddon Max Pack,"Action, Indie, Racing, "
70,Half-Life,"Action, "
752360,Fallen Mage,"Action, Indie, RPG, "
594200,Don't Get Hit In The Face,"Action, Indie, "
520680,Lost Cities,"Casual, Indie, Strategy, "
690410,Twisted Enhanced Edition,"Action, "
766850,Vaporwave Simulator,"Casual, Indie, Simulation, "
413120,Tactics Forever,"Action, Casual, Indie, Massively Multiplayer, Simulation, Sports, Strategy, "
773120,Christmas Santa Troubles,"Adventure, Casual, Indie, "
680970,Kingdom Watcher,"Action, Indie, Sports, Strategy, Early Access, "
